day,Account,daily_pnl,trade_count,win_rate,avg_trade_size,avg_leverage,long_ratio,sentiment
2024-03-04,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,26773.771643,287,0.8815331010452961,128482.12515811845,,0.0,Extreme Greed
2024-03-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1026.004099,13,1.0,1402.276923076923,,0.0,Extreme Greed
2024-03-05,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,19791.026041,180,0.9055555555555556,249929.40555555557,,0.0,Extreme Greed
2024-03-06,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,6814.825139,82,0.8780487804878049,133599.34146341463,,0.0,Extreme Greed
2024-03-08,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,4271.886236,67,0.8805970149253731,51466.72835820895,,0.0,Extreme Greed
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9949.501624,117,0.8290598290598291,153711.76666666666,,0.0,Extreme Greed
2024-03-10,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2482.9272,42,0.6904761904761905,762.8590476190477,,0.0,Extreme Greed
2024-03-11,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3588.179495,42,0.9285714285714286,3318.3571428571427,,0.0,Extreme Greed
2024-03-12,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3039.166,8,0.875,1425.5,,0.0,Extreme Greed
2024-03-13,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,7,0.0,0.21608571428571427,,0.0,Extreme Greed
2024-03-14,0x4f93fead39b70a1824f981a54d4e55b278e9f760,65.480454,1,1.0,1.5126,,0.0,Extreme Greed
2024-03-14,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3400.385378,17,0.8823529411764706,33175.34117647059,,0.0,Extreme Greed
2024-03-15,0x4f93fead39b70a1824f981a54d4e55b278e9f760,338.42832,8,0.125,0.8718375,,0.0,Extreme Greed
2024-03-15,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,5509.2545,35,0.9142857142857143,302349.82857142854,,0.0,Extreme Greed
2024-03-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,388.830831,19,0.42105263157894735,60181.04842105263,,0.0,Extreme Greed
2024-03-16,0x4f93fead39b70a1824f981a54d4e55b278e9f760,228.57984,6,0.16666666666666666,1.2373666666666667,,0.0,Extreme Greed
2024-03-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,2,0.0,556173.5,,0.0,Extreme Greed
2024-03-17,0x4f93fead39b70a1824f981a54d4e55b278e9f760,429.683075,14,0.2857142857142857,1.72845,,0.0,Extreme Greed
2024-03-17,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,73.61088,7,0.8571428571428571,17.305714285714284,,0.0,Extreme Greed
